Winner,MatchID,Team1,Team2,Margin,Year
Pakistan,553,Pakistan,West Indies,59 runs,2016
Pakistan,554,Pakistan,West Indies,136 runs,2016
South Africa,555,South Africa,Australia,4 wickets,2016
England,556,Bangladesh,England,21 runs,2016
South Africa,557,South Africa,Australia,6 wickets,2016
Bangladesh,558,Bangladesh,England,34 runs,2016
England,559,Bangladesh,England,4 wickets,2016
South Africa,560,South Africa,Australia,31 runs,2016
India,561,India,New Zealand,6 wickets,2016
New Zealand,562,India,New Zealand,6 runs,2016
India,563,India,New Zealand,7 wickets,2016
New Zealand,564,India,New Zealand,19 runs,2016
India,565,India,New Zealand,190 runs,2016
West Indies,566,Sri Lanka,West Indies,62 runs,2016
Sri Lanka,567,Sri Lanka,West Indies,1 run,2016
Australia,568,Australia,New Zealand,68 runs,2016
Australia,569,Australia,New Zealand,116 runs,2016
Australia,570,Australia,New Zealand,117 runs,2016
New Zealand,571,New Zealand,Bangladesh,77 runs,2016
New Zealand,572,New Zealand,Bangladesh,67 runs,2016
New Zealand,573,New Zealand,Bangladesh,8 wickets,2016
Australia,574,Australia,Pakistan,92 runs,2017
Pakistan,575,Australia,Pakistan,6 wickets,2017
India,576,India,England,3 wickets,2017
Australia,577,Australia,Pakistan,7 wickets,2017
India,578,India,England,15 runs,2017
Australia,579,Australia,Pakistan,86 runs,2017
England,580,India,England,5 runs,2017
Australia,581,Australia,Pakistan,57 runs,2017
South Africa,582,South Africa,Sri Lanka,8 wickets,2017
New Zealand,583,New Zealand,Australia,6 runs,2017
South Africa,584,South Africa,Sri Lanka,121 runs,2017
South Africa,585,South Africa,Sri Lanka,7 wickets,2017
New Zealand,586,New Zealand,Australia,24 runs,2017
South Africa,587,South Africa,Sri Lanka,40 runs,2017
South Africa,588,South Africa,Sri Lanka,88 runs,2017
South Africa,589,New Zealand,South Africa,4 wickets,2017
New Zealand,590,New Zealand,South Africa,6 runs,2017
South Africa,591,New Zealand,South Africa,159 runs,2017
New Zealand,592,New Zealand,South Africa,7 wickets,2017
England,593,West Indies,England,45 runs,2017
South Africa,594,New Zealand,South Africa,6 wickets,2017
England,595,West Indies,England,4 wickets,2017
England,596,West Indies,England,186 runs,2017
Bangladesh,597,Sri Lanka,Bangladesh,90 runs,2017
Sri Lanka,598,Sri Lanka,Bangladesh,70 runs,2017
West Indies,599,West Indies,Pakistan,4 wickets,2017
Pakistan,600,West Indies,Pakistan,74 runs,2017
Pakistan,601,West Indies,Pakistan,6 wickets,2017
New Zealand,602,Bangladesh,New Zealand,4 wickets,2017
Bangladesh,603,Bangladesh,New Zealand,5 wickets,2017
England,604,England,South Africa,72 runs,2017
England,605,England,South Africa,2 runs,2017
South Africa,606,England,South Africa,7 wickets,2017
England,607,England,Bangladesh,8 wickets,2017
South Africa,608,South Africa,Sri Lanka,96 runs,2017
India,609,India,Pakistan,124 runs,2017
England,610,England,New Zealand,87 runs,2017
Pakistan,611,Pakistan,South Africa,19 runs,2017
Sri Lanka,612,India,Sri Lanka,7 wickets,2017
Bangladesh,613,Bangladesh,New Zealand,5 wickets,2017
Afghanistan,614,West Indies,Afghanistan,63 runs,2017
England,615,England,Australia,40 runs,2017
India,616,India,South Africa,8 wickets,2017
West Indies,617,West Indies,Afghanistan,4 wickets,2017
Pakistan,618,Pakistan,Sri Lanka,3 wickets,2017
Pakistan,619,England,Pakistan,8 wickets,2017
India,620,Bangladesh,India,9 wickets,2017
Pakistan,621,India,Pakistan,180 runs,2017
India,622,West Indies,India,105 runs,2017
India,623,West Indies,India,93 runs,2017
West Indies,624,West Indies,India,11 runs,2017
India,625,West Indies,India,8 wickets,2017
India,626,Sri Lanka,India,9 wickets,2017
India,627,Sri Lanka,India,3 wickets,2017
India,628,Sri Lanka,India,6 wickets,2017
India,629,Sri Lanka,India,168 runs,2017
India,630,Sri Lanka,India,6 wickets,2017
India,631,India,Australia,26 runs,2017
England,632,England,West Indies,7 wickets,2017
India,633,India,Australia,50 runs,2017
India,634,India,Australia,5 wickets,2017
England,635,England,West Indies,124 runs,2017
England,636,England,West Indies,6 runs,2017
Australia,637,India,Australia,21 runs,2017
England,638,England,West Indies,9 wickets,2017
India,639,India,Australia,7 wickets,2017
Pakistan,640,Pakistan,Sri Lanka,83 runs,2017
South Africa,641,South Africa,Bangladesh,10 wickets,2017
Pakistan,642,Pakistan,Sri Lanka,32 runs,2017
South Africa,643,South Africa,Bangladesh,104 runs,2017
Pakistan,644,Pakistan,Sri Lanka,7 wickets,2017
Pakistan,645,Pakistan,Sri Lanka,7 wickets,2017
New Zealand,646,India,New Zealand,6 wickets,2017
South Africa,647,South Africa,Bangladesh,200 runs,2017
Pakistan,648,Pakistan,Sri Lanka,9 wickets,2017
India,649,India,New Zealand,6 wickets,2017
India,650,India,New Zealand,6 runs,2017
