Winner,MatchID,Team1,Team2,Margin,Year
West Indies,127,West Indies,Pakistan,1 run,2011
West Indies,128,West Indies,Pakistan,10 wickets,2011
India,129,West Indies,India,4 wickets,2011
India,130,West Indies,India,7 wickets,2011
India,131,West Indies,India,3 wickets,2011
West Indies,132,West Indies,India,103 runs,2011
West Indies,133,West Indies,India,7 wickets,2011
England,134,England,Sri Lanka,110 runs,2011
Sri Lanka,135,England,Sri Lanka,69 runs,2011
Sri Lanka,136,England,Sri Lanka,6 wickets,2011
England,137,England,Sri Lanka,10 wickets,2011
England,138,England,Sri Lanka,16 runs,2011
Australia,139,Sri Lanka,Australia,7 wickets,2011
Australia,140,Sri Lanka,Australia,8 wickets,2011
Sri Lanka,141,Sri Lanka,Australia,78 runs,2011
Australia,142,Sri Lanka,Australia,5 wickets,2011
Sri Lanka,143,Sri Lanka,Australia,4 wickets,2011
England,144,England,India,7 wickets,2011
England,145,England,India,3 wickets,2011
England,146,England,India,6 wickets,2011
West Indies,147,Bangladesh,West Indies,40 runs,2011
India,148,India,England,126 runs,2011
West Indies,149,Bangladesh,West Indies,8 wickets,2011
India,150,India,England,8 wickets,2011
Bangladesh,151,Bangladesh,West Indies,8 wickets,2011
Australia,152,South Africa,Australia,93 runs,2011
India,153,India,England,5 wickets,2011
India,154,India,England,6 wickets,2011
South Africa,155,South Africa,Australia,80 runs,2011
India,156,India,England,95 runs,2011
Australia,157,South Africa,Australia,3 wickets,2011
Pakistan,158,Pakistan,Sri Lanka,8 wickets,2011
Sri Lanka,159,Pakistan,Sri Lanka,25 runs,2011
Pakistan,160,Pakistan,Sri Lanka,21 runs,2011
Pakistan,161,Pakistan,Sri Lanka,26 runs,2011
Pakistan,162,Pakistan,Sri Lanka,3 wickets,2011
India,163,India,West Indies,1 wicket,2011
Pakistan,164,Bangladesh,Pakistan,5 wickets,2011
India,165,India,West Indies,5 wickets,2011
Pakistan,166,Bangladesh,Pakistan,76 runs,2011
West Indies,167,India,West Indies,16 runs,2011
Pakistan,168,Bangladesh,Pakistan,58 runs,2011
India,169,India,West Indies,153 runs,2011
India,170,India,West Indies,34 runs,2011
South Africa,171,South Africa,Sri Lanka,258 runs,2012
South Africa,172,South Africa,Sri Lanka,5 wickets,2012
South Africa,173,South Africa,Sri Lanka,4 runs,2012
Sri Lanka,174,South Africa,Sri Lanka,5 wickets,2012
Sri Lanka,175,South Africa,Sri Lanka,2 wickets,2012
Australia,176,Australia,India,65 runs,2012
India,177,India,Sri Lanka,4 wickets,2012
Australia,178,Australia,Sri Lanka,5 runs,2012
Pakistan,179,Afghanistan,Pakistan,7 wickets,2012
India,180,Australia,India,4 wickets,2012
England,181,England,Pakistan,130 runs,2012
England,182,England,Pakistan,20 runs,2012
Sri Lanka,183,Australia,Sri Lanka,8 wickets,2012
England,184,England,Pakistan,9 wickets,2012
Australia,185,Australia,India,110 runs,2012
Sri Lanka,186,India,Sri Lanka,51 runs,2012
England,187,England,Pakistan,4 wickets,2012
Sri Lanka,188,Australia,Sri Lanka,3 wickets,2012
South Africa,189,New Zealand,South Africa,6 wickets,2012
Australia,190,Australia,India,87 runs,2012
India,191,India,Sri Lanka,7 wickets,2012
South Africa,192,New Zealand,South Africa,6 wickets,2012
Sri Lanka,193,Australia,Sri Lanka,9 runs,2012
South Africa,194,New Zealand,South Africa,5 wickets,2012
Australia,195,Australia,Sri Lanka,15 runs,2012
Sri Lanka,196,Australia,Sri Lanka,8 wickets,2012
Australia,197,Australia,Sri Lanka,16 runs,2012
Pakistan,198,Bangladesh,Pakistan,21 runs,2012
India,199,India,Sri Lanka,50 runs,2012
Pakistan,200,Pakistan,Sri Lanka,6 wickets,2012
Bangladesh,201,Bangladesh,India,5 wickets,2012
Australia,202,West Indies,Australia,64 runs,2012
India,203,India,Pakistan,6 wickets,2012
West Indies,204,West Indies,Australia,5 wickets,2012
Bangladesh,205,Bangladesh,Sri Lanka,5 wickets,2012
Pakistan,206,Bangladesh,Pakistan,2 runs,2012
West Indies,207,West Indies,Australia,42 runs,2012
Australia,208,West Indies,Australia,30 runs,2012
Pakistan,209,Sri Lanka,Pakistan,6 wickets,2012
Sri Lanka,210,Sri Lanka,Pakistan,76 runs,2012
Sri Lanka,211,Sri Lanka,Pakistan,44 runs,2012
England,212,England,West Indies,114 runs,2012
Sri Lanka,213,Sri Lanka,Pakistan,2 wickets,2012
England,214,England,West Indies,8 wickets,2012
England,215,England,Australia,15 runs,2012
England,216,England,Australia,6 wickets,2012
West Indies,217,West Indies,New Zealand,9 wickets,2012
England,218,England,Australia,8 wickets,2012
West Indies,219,West Indies,New Zealand,55 runs,2012
England,220,England,Australia,7 wickets,2012
New Zealand,221,West Indies,New Zealand,88 runs,2012
West Indies,222,West Indies,New Zealand,24 runs,2012
West Indies,223,West Indies,New Zealand,20 runs,2012
India,224,Sri Lanka,India,21 runs,2012
Sri Lanka,225,Sri Lanka,India,9 wickets,2012
India,226,Sri Lanka,India,5 wickets,2012
India,227,Sri Lanka,India,6 wickets,2012
India,228,Sri Lanka,India,20 runs,2012
Australia,229,Afghanistan,Australia,66 runs,2012
